Date,Open,High,Low,Close,Volume
2022-01-03 17:00:00,"8,5","8,74","8,5","8,55",166151
2022-01-04 17:00:00,"8,59","8,67","8,36","8,43",257415
2022-01-05 17:00:00,"8,41","8,57","8,37","8,51",125021
2022-01-07 17:00:00,"8,61","8,61","8,36","8,45",213579
2022-01-10 17:00:00,"8,45","8,56","8,45","8,45",152179
2022-01-11 17:00:00,"8,5","8,54","8,43","8,47",713101
2022-01-12 17:00:00,"8,49","8,85","8,49","8,8",811205
2022-01-13 17:00:00,"8,8","8,99","8,7","8,88",587572
2022-01-14 17:00:00,"8,76","8,88","8,73","8,8",322179
2022-01-17 17:00:00,"8,76","8,88","8,63","8,68",147665
2022-01-18 17:00:00,"8,68","8,69","8,51","8,52",333848
2022-01-19 17:00:00,"8,1","8,1","7,67","7,75",2457717
2022-01-20 17:00:00,"7,83","7,99","7,74","7,99",475132
2022-01-21 17:00:00,"7,9","8,03","7,73","7,86",498863
2022-01-24 17:00:00,"7,86","7,93","7,5","7,56",953089
2022-01-25 17:00:00,"7,55","7,71","7,41","7,53",457860
2022-01-26 17:00:00,"7,55","7,81","7,48","7,57",395889
2022-01-27 17:00:00,"7,6","7,76","7,46","7,51",224726
2022-01-28 17:00:00,"7,59","7,98","7,51","7,85",761742
2022-01-31 17:00:00,"7,87","7,94","7,58","7,68",577773
2022-02-01 17:00:00,"7,71","7,86","7,67","7,68",430785
2022-02-02 17:00:00,"7,78","7,83","7,64","7,7",517758
2022-02-03 17:00:00,"7,71","8,1","7,71","7,75",546131
2022-02-04 17:00:00,"7,84","7,94","7,63","7,7",401477
2022-02-07 17:00:00,"7,66","7,79","7,57","7,71",561777
2022-02-08 17:00:00,"7,76","7,97","7,72","7,77",246047
2022-02-09 17:00:00,"7,78","8,3","7,78","8,3",479528
2022-02-10 17:00:00,"8,3","8,31","8,02","8,16",180754
2022-02-11 17:00:00,"8,04","8,18","7,92","8,1",289792
2022-02-14 17:00:00,"7,9",8,"7,68","7,7",660219
2022-02-15 17:00:00,"7,67","7,97","7,67","7,86",283952
2022-02-16 17:00:00,"7,9","8,04","7,74","7,84",539089
2022-02-17 17:00:00,"7,84","7,88","7,57","7,6",395536
2022-02-18 17:00:00,"7,59","7,74","7,49","7,51",201259
2022-02-21 17:00:00,"7,5","7,6","7,1","7,17",312654
2022-02-22 17:00:00,"7,07","7,59","6,92","7,55",683594
2022-02-23 17:00:00,"7,54","7,77","7,4","7,5",680792
2022-02-24 17:00:00,"7,5","7,5","6,87","7,26",1552883
2022-02-25 17:00:00,"7,25","7,78","7,25","7,7",464114
2022-02-28 17:00:00,"7,35","8,84","7,35","8,78",1752866
2022-03-01 17:00:00,"8,78",9,"8,34","8,4",485893
2022-03-02 17:00:00,"8,7","9,15","8,6",9,1543678
2022-03-03 17:00:00,"9,13","9,47","8,5","8,8",1408371
2022-03-04 17:00:00,"8,9","9,06","8,2","8,72",1204560
2022-03-07 17:00:00,"8,89","9,67","8,55","9,54",1700948
2022-03-08 17:00:00,"9,54","9,67","9,09","9,21",487315
2022-03-09 17:00:00,"9,21","9,4","8,91","9,19",345030
2022-03-10 17:00:00,"9,17","9,19","8,96","9,1",231761
2022-03-11 17:00:00,"9,15","9,27","9,01","9,27",418405
2022-03-14 17:00:00,"9,27","9,27","8,9","8,9",402382
2022-03-15 17:00:00,"8,85","9,2","8,82","9,2",344050
2022-03-16 17:00:00,"9,21","9,3","8,99","9,13",448807
2022-03-17 17:00:00,"9,18","9,35","9,09","9,33",705875
2022-03-18 17:00:00,"9,33","9,38","9,03","9,04",1013049
2022-03-21 17:00:00,"9,2","9,42","9,05","9,06",702185
2022-03-22 17:00:00,"9,07","9,3","9,01","9,03",709588
2022-03-23 17:00:00,"9,12","9,42","9,12","9,18",624846
2022-03-24 17:00:00,"9,39","9,39","9,16","9,32",666948
2022-03-25 17:00:00,"9,31","9,31","8,94","9,01",653804
2022-03-28 17:00:00,"9,17","9,23",9,"9,11",303364
2022-03-29 17:00:00,"9,1","9,17","8,93","8,98",477886
2022-03-30 17:00:00,"9,09","9,19","8,99","9,19",382470
2022-03-31 17:00:00,"9,2","9,24","9,04","9,19",322046
2022-04-01 17:00:00,"9,08","9,32","9,06","9,15",274087
2022-04-04 17:00:00,"9,16","9,31","8,75","8,78",702976
2022-04-05 17:00:00,"8,9","9,02","8,83","9,02",311493
2022-04-06 17:00:00,"8,99","8,99","8,65","8,8",750194
2022-04-07 17:00:00,"8,8","8,9","8,7","8,82",433364
2022-04-08 17:00:00,"8,9","9,07","8,77","8,97",649612
2022-04-11 17:00:00,"8,97","9,36","8,91","9,36",590102
2022-04-12 17:00:00,"9,23","9,48","9,23","9,34",349428
2022-04-13 17:00:00,"9,45","9,48","9,12","9,16",491750
2022-04-14 17:00:00,"9,2","9,25","9,14","9,24",154715
2022-04-19 17:00:00,"9,21","9,21","8,93","9,06",471839
2022-04-20 17:00:00,"9,06","9,19","8,95","8,95",387987
2022-04-21 17:00:00,"8,94","9,02","8,7","8,9",713475
2022-04-22 17:00:00,"8,9","9,15","8,82","9,02",430336
2022-04-25 17:00:00,"8,95","9,4","8,94","9,35",809571
2022-04-26 17:00:00,"9,4","9,48","9,25","9,35",414753
