Date,Open,High,Low,Close,Volume
2022-01-03 17:00:00,"7,65","7,94","7,6","7,84",12535
2022-01-04 17:00:00,"7,85","7,85","7,8","7,8",20949
2022-01-05 17:00:00,"7,74","7,8","7,71","7,71",19998
2022-01-07 17:00:00,"7,78","7,78","7,7","7,71",9843
2022-01-10 17:00:00,"7,7","7,72","7,68","7,68",48365
2022-01-11 17:00:00,"7,72","7,73","7,67","7,7",14120
2022-01-12 17:00:00,"7,74","7,75","7,68","7,7",51542
2022-01-13 17:00:00,"7,72","7,72","7,69","7,7",44905
2022-01-14 17:00:00,"7,7","7,7","7,68","7,68",20475
2022-01-17 17:00:00,"7,67","7,67","7,6","7,65",54591
2022-01-18 17:00:00,"7,64","7,64","7,57","7,6",34652
2022-01-19 17:00:00,"7,57","7,6","7,53","7,55",48794
2022-01-20 17:00:00,"7,54","7,6","7,52","7,53",35060
2022-01-21 17:00:00,"7,52","7,57","7,52","7,55",19418
2022-01-24 17:00:00,"7,53","7,54","7,39","7,39",55707
2022-01-25 17:00:00,"7,33","7,4","7,3","7,32",36013
2022-01-26 17:00:00,"7,4","7,61","7,4","7,41",18239
2022-01-27 17:00:00,"7,49","7,54","7,38","7,38",12148
2022-01-28 17:00:00,"7,4","7,42","7,37","7,38",20582
2022-01-31 17:00:00,"7,35","7,53","7,35","7,38",5419
2022-02-01 17:00:00,"7,37","7,4","7,33","7,33",18355
2022-02-02 17:00:00,"7,39","7,39","7,27","7,29",36679
2022-02-03 17:00:00,"7,35","7,44","7,29","7,3",20746
2022-02-04 17:00:00,"7,3","7,42","7,29","7,31",12873
2022-02-07 17:00:00,"7,32","7,41","7,3","7,36",14974
2022-02-08 17:00:00,"7,31","7,38","7,28","7,3",30644
2022-02-09 17:00:00,"7,33","7,33","7,22","7,25",73345
2022-02-10 17:00:00,"7,26","7,3","7,21","7,22",36141
2022-02-11 17:00:00,"7,22","7,22","7,18","7,2",77719
2022-02-14 17:00:00,"7,18","7,18","7,07","7,16",41628
2022-02-15 17:00:00,"7,1","7,3","7,1","7,19",23628
2022-02-16 17:00:00,"7,19","7,3","7,19","7,22",10759
2022-02-17 17:00:00,"7,28","7,3","7,12","7,19",16467
2022-02-18 17:00:00,"7,15","7,24","7,13","7,17",9432
2022-02-21 17:00:00,"7,15","7,2","7,01","7,06",24443
2022-02-22 17:00:00,7,"7,03","6,96",7,85302
2022-02-23 17:00:00,7,"7,09","6,99","6,99",6889
2022-02-24 17:00:00,"6,88","7,01","6,6","6,75",154163
2022-02-25 17:00:00,"6,7","7,16","6,7","7,15",59366
2022-02-28 17:00:00,7,"7,28",7,"7,16",25372
2022-03-01 17:00:00,"7,15","7,47","7,04","7,13",33148
2022-03-02 17:00:00,"7,1","7,55","7,04","7,53",119249
2022-03-03 17:00:00,"7,6","7,6","7,15","7,25",37432
2022-03-04 17:00:00,"7,35","7,4","7,16","7,2",16739
2022-03-07 17:00:00,"7,25","7,39","7,2","7,26",31451
2022-03-08 17:00:00,"7,27","7,44","7,27","7,36",27853
2022-03-09 17:00:00,"7,43","7,48","7,4","7,41",11599
2022-03-10 17:00:00,"7,48","7,49","7,41","7,42",18312
2022-03-11 17:00:00,"7,49","7,5","7,37","7,41",9181
2022-03-14 17:00:00,"7,36","7,44","7,36","7,37",3065
2022-03-15 17:00:00,"7,4","7,55","7,37","7,47",63797
2022-03-16 17:00:00,"7,47","7,65","7,47","7,64",14618
2022-03-17 17:00:00,"7,56","7,65","7,53","7,57",20044
2022-03-18 17:00:00,"7,6","7,7","7,6","7,61",17165
2022-03-21 17:00:00,"7,62","7,74","7,62","7,68",31906
2022-03-22 17:00:00,"7,6","7,65","7,52","7,59",17436
2022-03-23 17:00:00,"7,55","7,7","7,51","7,58",17675
2022-03-24 17:00:00,"7,59","7,73","7,56","7,59",35390
2022-03-25 17:00:00,"7,57","7,66","7,33","7,5",75310
2022-03-28 17:00:00,"7,48","7,51","7,38","7,38",14185
2022-03-29 17:00:00,"7,38","7,5","7,34","7,35",17243
2022-03-30 17:00:00,"7,31","7,38","7,2","7,3",53053
2022-03-31 17:00:00,"7,34","7,35","7,22","7,26",22023
2022-04-01 17:00:00,"7,33","7,5","7,27","7,4",32243
2022-04-04 17:00:00,"7,52","7,53","7,22","7,4",30418
2022-04-05 17:00:00,"7,4","7,6","7,4","7,42",13850
2022-04-06 17:00:00,"7,51","7,53","7,38","7,42",7371
2022-04-07 17:00:00,"7,39","7,49","7,36","7,37",9980
2022-04-08 17:00:00,"7,37","7,49","7,31","7,47",12914
2022-04-11 17:00:00,"7,47","7,52","7,4","7,44",64078
2022-04-12 17:00:00,"7,47","7,47","7,35","7,38",25009
2022-04-13 17:00:00,"7,38","7,38","7,24","7,28",20484
2022-04-14 17:00:00,"7,26","7,26","7,18","7,18",40748
2022-04-19 17:00:00,"7,22","7,26","7,2","7,22",2974
2022-04-20 17:00:00,"7,2","7,3","7,2","7,2",30211
2022-04-21 17:00:00,"7,22","7,26","7,18","7,18",4912
2022-04-22 17:00:00,"7,2","7,28","7,14","7,26",11477
2022-04-25 17:00:00,"7,26","7,26","7,02","7,1",48303
2022-04-26 17:00:00,"7,06","7,2","7,06","7,16",15066
