Date,Open,High,Low,Close,Volume
2022-01-03 17:00:00,"2,67","2,74","2,66","2,67",3006215
2022-01-04 17:00:00,"2,68","2,69","2,6","2,6",4237392
2022-01-05 17:00:00,"2,61","2,66","2,56","2,62",4748851
2022-01-07 17:00:00,"2,62","2,62","2,55","2,6",3484772
2022-01-10 17:00:00,"2,6","2,62","2,57","2,57",1741319
2022-01-11 17:00:00,"2,58","2,61","2,52","2,59",3701252
2022-01-12 17:00:00,"2,59","2,8","2,59","2,79",9415430
2022-01-13 17:00:00,"2,79","2,87","2,74","2,8",7066022
2022-01-14 17:00:00,"2,8","2,84","2,75","2,83",2201954
2022-01-17 17:00:00,"2,81","2,84","2,73","2,73",2583137
2022-01-18 17:00:00,"2,73","2,74","2,67","2,68",2058607
2022-01-19 17:00:00,"2,62","2,62","2,47","2,51",16614104
2022-01-20 17:00:00,"2,52","2,58","2,52","2,54",5344071
2022-01-21 17:00:00,"2,53","2,53","2,48","2,5",4064454
2022-01-24 17:00:00,"2,47","2,51","2,36","2,38",6134816
2022-01-25 17:00:00,"2,4","2,44","2,36","2,43",7290672
2022-01-26 17:00:00,"2,44","2,47","2,4","2,4",3251268
2022-01-27 17:00:00,"2,38","2,42","2,36","2,38",2649125
2022-01-28 17:00:00,"2,4","2,46","2,34","2,45",6500410
2022-01-31 17:00:00,"2,48","2,51","2,38","2,4",4465464
2022-02-01 17:00:00,"2,42","2,45","2,39","2,4",2515611
2022-02-02 17:00:00,"2,4","2,43","2,37","2,39",5481942
2022-02-03 17:00:00,"2,4","2,58","2,39","2,48",13171177
2022-02-04 17:00:00,"2,5","2,52","2,38","2,38",5754833
2022-02-07 17:00:00,"2,4","2,42","2,36","2,42",3549672
2022-02-08 17:00:00,"2,41","2,46","2,38","2,41",3302820
2022-02-09 17:00:00,"2,44","2,54","2,43","2,54",5434440
2022-02-10 17:00:00,"2,55","2,55","2,49","2,49",2068889
2022-02-11 17:00:00,"2,49","2,5","2,44","2,47",2334303
2022-02-14 17:00:00,"2,4","2,41","2,35","2,4",4372777
2022-02-15 17:00:00,"2,42","2,5","2,41","2,49",3844681
2022-02-16 17:00:00,"2,53","2,56","2,43","2,44",3765942
2022-02-17 17:00:00,"2,47","2,48","2,37","2,4",3075656
2022-02-18 17:00:00,"2,4","2,43","2,36","2,38",2971218
2022-02-21 17:00:00,"2,39","2,41","2,23","2,26",5110620
2022-02-22 17:00:00,"2,2","2,33","2,15","2,31",6186435
2022-02-23 17:00:00,"2,35","2,36","2,25","2,27",3988538
2022-02-24 17:00:00,"2,02","2,17","1,98","2,1",11093518
2022-02-25 17:00:00,"2,15","2,24","2,07","2,2",6923513
2022-02-28 17:00:00,"2,2","2,51","2,15","2,48",12512990
2022-03-01 17:00:00,"2,54","2,59","2,44","2,49",11443326
2022-03-02 17:00:00,"2,51","2,78","2,48","2,77",11316451
2022-03-03 17:00:00,"2,86","2,99","2,58","2,7",16138072
2022-03-04 17:00:00,"2,66","2,79","2,61","2,72",9200197
2022-03-07 17:00:00,"2,74","2,91","2,66","2,81",12166171
2022-03-08 17:00:00,"2,83","2,84","2,65","2,69",6814513
2022-03-09 17:00:00,"2,75","2,79","2,66","2,72",6326338
2022-03-10 17:00:00,"2,73","2,73","2,66","2,7",4900066
2022-03-11 17:00:00,"2,72","2,77","2,68","2,75",8315792
2022-03-14 17:00:00,"2,76","2,76","2,66","2,68",5457267
2022-03-15 17:00:00,"2,68","2,76","2,62","2,73",5429406
2022-03-16 17:00:00,"2,77","2,79","2,65","2,67",5546091
2022-03-17 17:00:00,"2,69","2,75","2,65","2,75",4439380
2022-03-18 17:00:00,"2,75","2,83","2,71","2,76",17491512
2022-03-21 17:00:00,"2,76","2,92","2,75","2,89",9535854
2022-03-22 17:00:00,"2,88","2,93","2,87","2,89",7600197
2022-03-23 17:00:00,"2,91","3,01","2,89","3,01",7947138
2022-03-24 17:00:00,"2,98","3,09","2,98","3,09",9070272
2022-03-25 17:00:00,"3,08","3,08","2,97","3,02",5972163
2022-03-28 17:00:00,3,"3,06","2,97",3,3314848
2022-03-29 17:00:00,"3,04","3,04","2,89","2,89",4506275
2022-03-30 17:00:00,"2,88","2,96","2,87","2,89",3182327
2022-03-31 17:00:00,"2,92","2,95","2,85","2,88",4091986
2022-04-01 17:00:00,"2,86","2,92","2,83","2,85",5097868
2022-04-04 17:00:00,"2,85","2,95","2,8","2,8",4871088
2022-04-05 17:00:00,"2,83","2,9","2,83","2,89",2817102
2022-04-06 17:00:00,"2,9","2,9","2,79","2,85",3887735
2022-04-07 17:00:00,"2,86","2,87","2,78","2,78",2773992
2022-04-08 17:00:00,"2,78","2,88","2,78","2,84",2512284
2022-04-11 17:00:00,"2,88",3,"2,86",3,4401023
2022-04-12 17:00:00,3,"3,12","2,95","3,05",8218742
2022-04-13 17:00:00,"3,01","3,08","2,98","3,01",2672572
2022-04-14 17:00:00,"3,02","3,08","2,99","3,06",2869563
2022-04-19 17:00:00,"3,06","3,13","3,03","3,05",2238521
2022-04-20 17:00:00,"3,06","3,11","2,97","2,97",1880092
2022-04-21 17:00:00,"2,97",3,"2,89","2,9",2831263
2022-04-22 17:00:00,"2,88",3,"2,87","2,97",3463055
2022-04-25 17:00:00,"2,94","3,17","2,93","3,17",7760240
2022-04-26 17:00:00,"3,16","3,18","3,1","3,12",3681862
