Date,Open,High,Low,Close,Volume
2022-01-03 17:00:00,"2272,18","2302,11","2272,18","2286,5",0
2022-01-04 17:00:00,"2293,18","2301,76","2281,04","2300,68",0
2022-01-05 17:00:00,"2296,7","2310,97","2283,63","2310,97",0
2022-01-07 17:00:00,"2309,61","2314,16","2278,63","2311,93",0
2022-01-10 17:00:00,"2311,34","2328,41","2289,59","2291,23",0
2022-01-11 17:00:00,"2300,38","2345,44","2296,03","2344,45",0
2022-01-12 17:00:00,"2350,99","2411,11","2350,99","2411,11",0
2022-01-13 17:00:00,"2406,83","2429,03","2397,64","2407,62",0
2022-01-14 17:00:00,"2402,92","2413,59","2370,11","2383,16",0
2022-01-17 17:00:00,"2378,9","2387,33","2359,3","2365,29",0
2022-01-18 17:00:00,"2361,68","2361,68","2317,23","2317,36",0
2022-01-19 17:00:00,"2304,66","2337,74","2291,46","2316,94",0
2022-01-20 17:00:00,"2321,6","2331,17","2299,73","2308,94",0
2022-01-21 17:00:00,"2298,12","2298,12","2257,71","2273,81",0
2022-01-24 17:00:00,"2270,73","2282,96","2153,81","2170,36",0
2022-01-25 17:00:00,"2170,85","2214,87","2170,45","2199,6",0
2022-01-26 17:00:00,"2204,53","2245,72","2204,53","2233,18",0
2022-01-27 17:00:00,"2218,18","2241,77","2197,75","2234,33",0
2022-01-28 17:00:00,"2232,26","2232,26","2167,61","2183,7",0
2022-01-31 17:00:00,"2198,34","2218,58","2191,24","2209,62",0
2022-02-01 17:00:00,"2219,99","2238,58","2210,41","2224,28",0
2022-02-02 17:00:00,"2229,44","2262,18","2221,3","2252,92",0
2022-02-03 17:00:00,"2249,4","2250,75","2225,26","2235,15",0
2022-02-04 17:00:00,"2239,14","2242,69","2174,57","2174,57",0
2022-02-07 17:00:00,"2181,87","2201,4","2149,25","2171,62",0
2022-02-08 17:00:00,2176,"2215,12","2171,41","2215,12",0
2022-02-09 17:00:00,"2220,47","2236,48","2216,91","2235,93",0
2022-02-10 17:00:00,"2235,91","2244,73","2201,11","2213,21",0
2022-02-11 17:00:00,"2203,02","2203,52","2172,72","2203,13",0
2022-02-14 17:00:00,"2154,92","2172,61","2119,71","2161,79",0
2022-02-15 17:00:00,"2170,43","2222,01","2170,43","2209,7",0
2022-02-16 17:00:00,"2224,29","2246,54","2201,69","2212,73",0
2022-02-17 17:00:00,"2215,9","2218,3","2168,46","2175,61",0
2022-02-18 17:00:00,"2172,08","2188,88","2143,28","2143,28",0
2022-02-21 17:00:00,"2149,19","2162,8","2059,49","2069,53",0
2022-02-22 17:00:00,"2038,58","2106,97","2010,54","2101,31",0
2022-02-23 17:00:00,"2110,35","2129,52","2038,99","2038,99",0
2022-02-24 17:00:00,"1929,14","1929,14","1781,02","1817,45",0
2022-02-25 17:00:00,"1850,34","1993,78","1850,34","1970,78",0
2022-02-28 17:00:00,"1937,89","2010,06","1890,33","1999,88",0
2022-03-01 17:00:00,"2006,15","2050,89","1964,71","1967,01",0
2022-03-02 17:00:00,"1966,4","2043,96","1954,93","2043,96",0
2022-03-03 17:00:00,"2053,82","2068,52","2005,47","2009,56",0
2022-03-04 17:00:00,"2000,16","2000,16","1894,88","1918,75",0
2022-03-07 17:00:00,"1898,74","1956,36","1860,1","1934,94",0
2022-03-08 17:00:00,"1922,98","1971,77","1899,22","1908,1",0
2022-03-09 17:00:00,"1937,96","1981,13","1933,67","1973,25",0
2022-03-10 17:00:00,"1983,05","1992,24","1950,24","1970,27",0
2022-03-11 17:00:00,"1983,15","2045,15","1983,15","2033,49",0
2022-03-14 17:00:00,"2038,11","2038,11","1972,14","1972,14",0
2022-03-15 17:00:00,"1968,78","2018,37","1950,63","1999,93",0
2022-03-16 17:00:00,"2018,99","2067,13","2018,99","2060,07",0
2022-03-17 17:00:00,"2070,66","2125,29","2070,66","2125,29",0
2022-03-18 17:00:00,"2122,59","2137,12","2088,08","2099,26",0
2022-03-21 17:00:00,"2098,58","2125,13","2082,38","2093,04",0
2022-03-22 17:00:00,"2096,64","2125,06","2096,5","2121,52",0
2022-03-23 17:00:00,"2129,62","2148,04","2103,09","2120,86",0
2022-03-24 17:00:00,"2130,03","2154,29","2112,6","2138,8",0
2022-03-25 17:00:00,"2142,22","2147,17","2098,97","2115,58",0
2022-03-28 17:00:00,"2112,73","2143,35","2112,73","2123,12",0
2022-03-29 17:00:00,"2134,55","2182,97","2107,74","2171,56",0
2022-03-30 17:00:00,"2178,29","2187,85","2158,86","2179,56",0
2022-03-31 17:00:00,"2177,34","2182,92","2133,05","2133,05",0
2022-04-01 17:00:00,"2143,61","2168,05","2142,22","2164,81",0
2022-04-04 17:00:00,"2171,43","2181,17","2144,42","2157,79",0
2022-04-05 17:00:00,"2164,28","2170,09","2120,76","2123,49",0
2022-04-06 17:00:00,"2124,38","2127,28","2083,93","2107,82",0
2022-04-07 17:00:00,"2110,89","2116,47","2076,63","2076,63",0
2022-04-08 17:00:00,"2089,75","2105,49","2073,85","2085,07",0
2022-04-11 17:00:00,"2081,23","2121,65","2066,56","2121,65",0
2022-04-12 17:00:00,"2115,34","2115,34","2091,76","2094,01",0
2022-04-13 17:00:00,"2103,07","2112,82","2087,13","2104,32",0
2022-04-14 17:00:00,"2109,37","2116,4","2088,7","2093,17",0
2022-04-19 17:00:00,"2098,17","2103,49","2046,24","2068,52",0
2022-04-20 17:00:00,"2076,95","2094,91","2047,81","2047,81",0
2022-04-21 17:00:00,"2059,4","2068,7","2028,76","2028,76",0
2022-04-22 17:00:00,"2028,28","2028,28","1973,31","1973,31",0
2022-04-25 17:00:00,"1951,03","1966,8","1909,93","1919,55",0
2022-04-26 17:00:00,"1938,86","1951,36","1894,28","1896,46",0
